@relation 'lysozyme?weka.filters.unsupervised.attribute.Remove?V?R34,59,388,469,16,51,57?58,52,456,464,461,355,15,209,481?weka.filters.unsupervised.instance.Randomize?S42'

@attribute AASA4P numeric
@attribute AASA9pK numeric
@attribute AASA8DCph numeric
@attribute AASA9s numeric
@attribute AASA6Ht numeric
@attribute AASA1pK numeric
@attribute AASA7pK numeric
@attribute AASA8pK numeric
@attribute AASA2pK numeric
@attribute AASA6V numeric
@attribute AASA4s numeric
@attribute AASA1s numeric
@attribute AASA5GhN numeric
@attribute AASA5Ht numeric
@attribute AASA9Pr numeric
@attribute class {+,-}

@data
163.5,4.46,309.14,2.16,1.5,4.46,4.45,4.44,4.45,15.11,2.34,2.01,2.98,1.57,0.09,?
163.5,4.48,305.24,2.13,1.46,4.48,4.48,4.47,4.48,14.95,2.33,1.97,2.99,1.46,0.09,?
163.46,4.46,305.68,2.16,1.5,4.46,4.45,4.44,4.45,15.05,2.32,1.99,2.99,1.53,0.09,?
163.47,4.46,311.27,2.16,1.56,4.46,4.45,4.45,4.46,15.08,2.34,2.01,2.95,1.58,0.09,?
163.5,4.46,308.71,2.16,1.52,4.46,4.45,4.44,4.45,15.15,2.34,2.01,2.98,1.57,0.09,?
163.07,4.45,308.71,2.16,1.5,4.45,4.44,4.43,4.44,14.99,2.34,2.01,2.93,1.56,0.09,?
163.5,4.46,310.31,2.16,1.53,4.46,4.45,4.45,4.45,14.97,2.34,2.01,2.94,1.58,0.09,?
163.46,4.46,305.01,2.16,1.5,4.46,4.45,4.44,4.45,15.03,2.32,1.99,2.99,1.51,0.09,?
163.5,4.46,299.83,2.14,1.47,4.46,4.45,4.44,4.45,14.98,2.34,1.99,2.99,1.55,0.09,?
163.56,4.48,299.18,2.16,1.46,4.48,4.47,4.47,4.47,14.98,2.34,2.01,3.04,1.55,0.09,?
162.49,4.46,307.37,2.16,1.49,4.46,4.45,4.44,4.45,15.08,2.34,2.01,2.98,1.55,0.09,?
163.58,4.45,305.64,2.24,1.48,4.45,4.44,4.44,4.44,15.13,2.37,2.02,3.14,1.55,0.09,?
162.3,4.46,311.97,2.15,1.52,4.46,4.45,4.45,4.45,15,2.32,1.99,2.93,1.57,0.09,?
164.03,4.45,300.57,2.16,1.47,4.45,4.44,4.44,4.44,15.08,2.34,2.01,3.1,1.55,0.09,?
163.51,4.47,306.8,2.2,1.49,4.47,4.46,4.46,4.46,15.2,2.36,2.04,2.99,1.54,0.09,?
163.49,4.46,309.37,2.16,1.51,4.46,4.45,4.45,4.45,15.06,2.34,2.01,2.88,1.57,0.09,?
163.52,4.48,306.34,2.13,1.48,4.48,4.47,4.47,4.47,15.08,2.33,1.97,2.99,1.49,0.09,?
162.95,4.47,302.86,2.09,1.49,4.47,4.46,4.46,4.46,14.69,2.28,1.94,2.97,1.55,0.1,?
163.5,4.46,307.39,2.16,1.5,4.46,4.45,4.45,4.45,15.09,2.37,2.02,2.98,1.57,0.09,?
163.54,4.45,302.93,2.16,1.49,4.45,4.44,4.44,4.44,15.16,2.34,2.01,3.06,1.54,0.09,?
163.06,4.45,307.55,2.16,1.5,4.45,4.44,4.44,4.44,15.03,2.34,2.01,2.86,1.56,0.09,?
161.72,4.47,306.67,1.95,1.5,4.47,4.46,4.46,4.46,14.74,2.21,1.94,2.84,1.56,0.09,?
163.55,4.45,305.71,2.16,1.48,4.45,4.44,4.44,4.45,15.14,2.34,2.01,3.04,1.56,0.09,?
164.67,4.45,304.16,2.16,1.47,4.45,4.44,4.44,4.44,15.15,2.34,2.01,3.15,1.55,0.09,?
163.5,4.46,304.82,2.16,1.48,4.46,4.45,4.44,4.45,14.97,2.32,2.01,2.99,1.54,0.09,?
163.5,4.46,308.09,2.16,1.51,4.46,4.45,4.44,4.45,15.1,2.34,2.01,2.98,1.56,0.09,?
163.46,4.46,308.08,2.16,1.51,4.46,4.45,4.45,4.45,15.03,2.34,2.01,2.98,1.57,0.09,?
163.54,4.45,304.72,2.16,1.47,4.45,4.44,4.44,4.44,15.08,2.34,2.01,3.02,1.55,0.09,?
165.98,4.45,306.48,2.25,1.5,4.45,4.44,4.44,4.44,15.32,2.45,2.05,2.99,1.56,0.09,?
164.69,4.45,305.58,2.24,1.48,4.45,4.44,4.44,4.44,15.13,2.37,2.02,3.14,1.55,0.09,?
163.5,4.43,307.43,2.16,1.51,4.43,4.42,4.42,4.42,15.13,2.34,2.01,2.98,1.57,0.09,?
163.52,4.48,306.27,2.2,1.49,4.48,4.47,4.47,4.47,15.24,2.36,2.04,3.06,1.54,0.09,?
163.5,4.46,306.88,2.16,1.5,4.46,4.45,4.45,4.46,14.95,2.34,1.99,2.98,1.58,0.09,?
163.5,4.46,311.11,2.16,1.51,4.46,4.45,4.44,4.45,15.13,2.34,2.01,2.99,1.57,0.09,?
163.52,4.48,304.73,2.13,1.45,4.48,4.47,4.47,4.47,14.99,2.33,1.97,3.05,1.42,0.09,?
163.5,4.48,291.92,2.13,1.44,4.49,4.48,4.48,4.48,14.91,2.33,2.01,2.99,1.49,0.09,?
163.5,4.46,296.2,2.14,1.45,4.46,4.45,4.44,4.45,14.93,2.34,1.99,3,1.55,0.09,?
163.54,4.45,306.94,2.09,1.5,4.46,4.45,4.44,4.45,15.13,2.32,1.99,2.99,1.56,0.09,?
162.2,4.46,307.15,2.08,1.5,4.46,4.45,4.45,4.45,14.62,2.2,1.95,2.86,1.56,0.09,?
163.49,4.45,311.58,2.16,1.5,4.45,4.44,4.43,4.44,15.02,2.34,2.01,2.99,1.56,0.09,?
163.54,4.45,303.66,2.16,1.45,4.45,4.44,4.44,4.44,15.08,2.34,2.01,2.99,1.54,0.09,?
